signal_time,direction,active_module_mask,module_score,position_state_at_signal_close,active_trade_id_at_signal_close,resolution,trade_id,entry_time,closed,censored_at_end,module,symbol,scenario
2022-11-22,Long,2,1,FLAT,,FILLED,1,2022-11-23,True,False,breakout,DE,skip_bars_since_rsi_up_5
2023-07-17,Long,2,1,FLAT,,FILLED,2,2023-07-18,True,False,breakout,DE,skip_bars_since_rsi_up_5
2023-07-18,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,DE,skip_bars_since_rsi_up_5
2023-07-19,Long,2,1,Long,2,IGNORED_POSITION_OPEN,,,,,breakout,DE,skip_bars_since_rsi_up_5
2024-09-27,Long,2,1,FLAT,,FILLED,3,2024-09-30,True,False,breakout,DE,skip_bars_since_rsi_up_5
2025-02-14,Long,2,1,FLAT,,FILLED,4,2025-02-18,True,False,breakout,DE,skip_bars_since_rsi_up_5
2025-02-18,Long,2,1,Long,4,IGNORED_POSITION_OPEN,,,,,breakout,DE,skip_bars_since_rsi_up_5
2025-03-07,Long,2,1,FLAT,,FILLED,5,2025-03-10,True,False,breakout,DE,skip_bars_since_rsi_up_5
2025-06-06,Long,2,1,FLAT,,FILLED,6,2025-06-09,True,False,breakout,DE,skip_bars_since_rsi_up_5
2026-02-03,Long,2,1,FLAT,,FILLED,7,2026-02-04,True,False,breakout,DE,skip_bars_since_rsi_up_5
2026-04-08,Long,2,1,FLAT,,FILLED,8,2026-04-09,True,False,breakout,DE,skip_bars_since_rsi_up_5
2026-06-03,Long,2,1,FLAT,,FILLED,9,2026-06-04,True,False,breakout,DE,skip_bars_since_rsi_up_5
2026-07-28,Long,2,1,FLAT,,FILLED,10,2026-07-29,True,False,breakout,DE,skip_bars_since_rsi_up_5
2026-09-01,Long,2,1,FLAT,,FILLED_BUT_CENSORED_AT_END,11,2026-09-02,False,True,breakout,DE,skip_bars_since_rsi_up_5
2026-09-02,Long,2,1,Long,11,IGNORED_POSITION_OPEN,,,,,breakout,DE,skip_bars_since_rsi_up_5
